station_id,sensor_id,"latitude (degree)","longitude (degree)",date_time,"some value (m)","averaging interval (s)"
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.0,-20.0,2012-04-03T08:00:00Z,5390.947,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.2,-20.0,2012-04-03T08:30:00Z,5390.967,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.4,-20.0,2012-04-03T09:00:00Z,5390.984,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.6,-20.0,2012-04-03T09:30:00Z,5390.998,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.8,-20.0,2012-04-03T10:00:00Z,5391.010,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.0,-20.0,2012-04-03T10:30:00Z,5391.016,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.2,-20.0,2012-04-03T11:00:00Z,5391.014,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.4,-20.0,2012-04-03T11:30:00Z,5391.011,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.6,-20.0,2012-04-03T12:00:00Z,5391.001,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.8,-20.0,2012-04-03T12:30:00Z,5390.990,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.0,-20.0,2012-04-03T13:00:00Z,5390.971,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.2,-20.0,2012-04-03T13:30:00Z,5390.949,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.4,-20.2,2012-04-03T14:00:00Z,5390.926,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.4,-20.4,2012-04-03T14:30:00Z,5390.901,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.2,-20.6,2012-04-03T15:00:00Z,5390.873,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.0,-20.6,2012-04-03T15:30:00Z,5390.842,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.8,-20.6,2012-04-03T16:00:00Z,5390.809,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.6,-20.6,2012-04-03T16:30:00Z,5390.776,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.4,-20.6,2012-04-03T17:00:00Z,5390.740,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.2,-20.6,2012-04-03T17:30:00Z,5390.706,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.0,-20.6,2012-04-03T18:00:00Z,5390.672,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.8,-20.6,2012-04-03T18:30:00Z,5390.641,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.6,-20.6,2012-04-03T19:00:00Z,5390.607,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.4,-20.6,2012-04-03T19:30:00Z,5390.578,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.2,-20.6,2012-04-03T20:00:00Z,5390.550,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.0,-20.6,2012-04-03T20:30:00Z,5390.526,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,18.8,-20.8,2012-04-03T21:00:00Z,5390.505,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,18.8,-21.0,2012-04-03T21:30:00Z,5390.487,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.0,-21.2,2012-04-03T22:00:00Z,5390.474,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.2,-21.2,2012-04-03T22:30:00Z,5390.466,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.4,-21.2,2012-04-03T23:00:00Z,5390.461,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.6,-21.2,2012-04-03T23:30:00Z,5390.460,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.8,-21.2,2012-04-04T00:00:00Z,5390.464,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.0,-21.2,2012-04-04T00:30:00Z,5390.473,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.2,-21.2,2012-04-04T01:00:00Z,5390.485,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.4,-21.2,2012-04-04T01:30:00Z,5390.500,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.6,-21.2,2012-04-04T02:00:00Z,5390.521,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.8,-21.2,2012-04-04T02:30:00Z,5390.547,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.0,-21.2,2012-04-04T03:00:00Z,5390.575,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.2,-21.2,2012-04-04T03:30:00Z,5390.605,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.4,-21.4,2012-04-04T04:00:00Z,5390.635,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.4,-21.6,2012-04-04T04:30:00Z,5390.670,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.2,-21.8,2012-04-04T05:00:00Z,5390.705,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,21.0,-21.8,2012-04-04T05:30:00Z,5390.740,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.8,-21.8,2012-04-04T06:00:00Z,5390.779,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.6,-21.8,2012-04-04T06:30:00Z,5390.816,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.4,-21.8,2012-04-04T07:00:00Z,5390.852,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.2,-21.8,2012-04-04T07:30:00Z,5390.888,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,20.0,-21.8,2012-04-04T08:00:00Z,5390.921,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.8,-21.8,2012-04-04T08:30:00Z,5390.951,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.6,-21.8,2012-04-04T09:00:00Z,5390.978,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.4,-21.8,2012-04-04T09:30:00Z,5390.999,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,19.2,-21.8,2012-04-04T10:00:00Z,5391.017,900
